file_name,freq_mean,freq_stdev_hz,freq_stdev_cent,int_mean,int_stdev,on/off
2_10_eng_aligned_eng0002.1,143.28571428571428,228.28762142358505,1649.7026377543023,59.714285714285715,2.2886885410853175,on
2_10_eng_aligned_eng0003.1,263.6666666666667,23.574350468252568,148.2558987776276,62.111111111111114,2.758824226207808,on
2_10_eng_aligned_eng0005.1,34.5,40.43142342287741,1342.7693949222032,61.333333333333336,4.033195589934446,on
2_10_eng_aligned_eng0006.1,153.75,11.814539065631521,128.1687554967214,62.25,5.5,on
2_10_eng_aligned_eng0008.1,223.22222222222223,201.47442627898073,1113.5424794021021,61.0,1.6583123951777,on
2_10_eng_aligned_eng0009.1,82.33333333333333,72.96802952891996,1098.6263390435743,63.333333333333336,6.3508529610858835,on
2_10_eng_aligned_eng0011.1,54.666666666666664,42.34934080557414,993.0736801192191,65.83333333333333,1.7224014243685084,on
2_10_eng_aligned_eng0012.1,125.5,144.92411807563295,1329.0437538520107,61.75,1.707825127659933,on
2_10_eng_aligned_eng0013.3,50.666666666666664,87.75724091682312,1739.981176171795,58.333333333333336,4.509249752822894,on
2_10_eng_aligned_eng0014.1,151.2,90.23136926812094,810.1859983428623,59.4,6.2289646009589745,on
2_10_eng_aligned_eng0016.4,138.88888888888889,57.68544973484311,601.3725745221462,58.0,5.656854249492381,on
2_10_eng_aligned_eng0022.2,131.28571428571428,99.94617599107079,979.9565291487753,61.0,3.4641016151377544,on
2_10_eng_aligned_eng0024.1,117.16666666666667,24.579802006254376,329.70072624531406,62.833333333333336,2.562550812504343,on
2_10_eng_aligned_eng0026.1,134.8,88.65212913404844,874.9743537689558,64.6,4.277849927241488,on
2_10_eng_aligned_eng0028.2,143.66666666666666,181.86121081748027,1416.0668751432663,58.333333333333336,3.8078865529319543,on
2_10_eng_aligned_eng0029.1,56.875,53.40796489556323,1146.4120964598876,57.5,2.449489742783178,on
2_10_eng_aligned_eng0030.1,55.75,46.449793684507725,1049.2182884365166,59.5,2.6457513110645907,on
2_10_eng_aligned_eng0032.2,73.4,45.18628110389258,830.5021802809265,60.6,6.877499545619759,on
2_10_eng_aligned_eng0034.1,108.75,4.272001872658765,66.70589630997443,60.5,2.3804761428476167,on
2_10_eng_aligned_eng0037.1,73.45454545454545,59.96226085858277,1033.2200852885483,60.09090909090909,5.682509048906925,on
2_10_eng_aligned_eng0038.1,89.22222222222223,7.9021797274197985,146.91687463625905,61.666666666666664,2.29128784747792,on
2_10_eng_aligned_eng0039.1,163.71428571428572,87.6616873472752,742.3998530450957,59.142857142857146,2.8535691936340255,on
2_10_eng_aligned_eng0041.1,119.0,10.44030650891055,145.590426707145,60.8,5.167204273105526,on
2_10_eng_aligned_eng0042.1,49.8,111.35618527948951,2033.0902963567407,53.2,1.4832396974191324,on
2_10_eng_aligned_eng0043.1,275.6,39.94746550158095,234.33737708614098,62.2,4.919349550499537,on
2_10_eng_aligned_eng0044.2,125.46153846153847,39.36922525826356,472.48844506223094,57.84615384615385,2.853248261372578,on
2_10_eng_aligned_eng0045.1,252.0,26.627053911388696,173.8939352255727,60.0,5.244044240850758,on
2_10_eng_aligned_eng0047.1,237.33333333333334,57.746572769876714,377.0291294642715,55.5,4.847679857416329,on
2_10_eng_aligned_eng0050.3,389.0,0,0,53.0,0,on
2_10_eng_aligned_eng0051.1,29.2,47.782842108857444,1678.2822785965702,60.2,2.3874672772626644,on
2_10_eng_aligned_eng0053.2,124.11111111111111,14.234152981864117,187.96917412800175,62.111111111111114,5.555277770832986,on
2_10_eng_aligned_eng0054.1,176.55555555555554,25.22454712730791,231.1940408793975,60.22222222222222,3.833333333333333,on
2_10_eng_aligned_eng0055.1,121.6,116.85375475353797,1165.879525407701,58.0,3.0,on
2_10_eng_aligned_eng0056.1,97.75,40.347596848245765,598.2235280868562,58.75,3.2841611235921855,on
2_10_eng_aligned_eng0057.2,220.4,21.835750502329887,163.54509337530712,62.8,5.630275304103699,on
2_10_eng_aligned_eng0058.1,304.1666666666667,129.06342110244353,612.3256598831659,60.0,6.324555320336759,on
2_10_eng_aligned_eng0059.1,122.9090909090909,26.71499408742044,340.50095609041364,60.36363636363637,3.170890325215531,on
2_10_eng_aligned_eng0060.1,89.83333333333333,26.910344974872892,453.62598910781315,61.333333333333336,3.3862466931200785,on
2_10_eng_aligned_eng0061.1,261.73333333333335,72.50070607209547,423.3131966696909,60.266666666666666,3.863134675857098,on
2_10_eng_aligned_eng0062.1,165.2,38.91914695879137,366.23739704981796,59.6,1.6733200530681511,on
2_10_eng_aligned_eng0065.1,195.5,123.74368670764582,848.9873787123249,61.5,6.363961030678928,on
2_10_eng_aligned_eng0066.1,109.75,85.98594846446326,1001.625363554993,61.5,2.0816659994661326,on
2_10_eng_aligned_eng0067.1,107.0,0,0,59.0,0,on
2_10_eng_aligned_eng0069.1,32.4,44.36552715791846,1493.3577323485006,60.8,2.588435821108957,on
2_10_eng_aligned_eng0070.1,207.4,187.0074864811567,1112.7252509642267,61.6,3.646916505762094,on
2_10_eng_aligned_eng0072.1,0.0,0,0,62.0,0,on
2_10_eng_aligned_eng0073.1,109.5,75.50938131561314,908.0010694291557,62.75,3.8622100754188224,on
2_10_eng_aligned_eng0074.2,271.4,37.8325256888831,225.92562240700872,63.6,2.3021728866442674,on
2_10_eng_aligned_eng0076.1,238.0,273.85470600301903,1325.7273293198584,59.0,4.147288270665544,on
2_10_eng_aligned_eng0077.1,20.75,23.96351393264352,1329.1195103700652,56.5,2.0816659994661326,on
2_10_eng_aligned_eng0078.2,32.4,44.45559582324817,1495.3877911713225,55.2,2.7748873851023217,on
2_10_eng_aligned_eng0079.1,47.57142857142857,37.08035033481185,997.734042818522,58.142857142857146,1.5735915849388864,on
2_10_eng_aligned_eng0080.1,190.5,163.11192476333542,1070.851115354678,62.833333333333336,4.02077936060494,on
2_10_eng_aligned_eng0082.2,133.0,171.82258291621622,1435.8522525191988,59.0,0.0,on
2_10_eng_aligned_eng0083.1,80.28571428571429,67.31694755833354,1054.2042367058013,54.714285714285715,5.3452248382484875,on
2_10_eng_aligned_eng0084.1,227.6,112.00803542603539,692.8440445068616,62.8,2.588435821108957,on
2_10_eng_aligned_eng0086.1,239.6,140.58733940152646,799.2990978581595,61.8,2.9495762407505253,on
2_10_eng_aligned_eng0088.3,200.8,119.28621043523849,807.2415078008607,55.2,3.7013511046643495,on
2_10_eng_aligned_eng0089.1,282.8333333333333,107.33949257690138,556.9933728502015,57.333333333333336,3.3862466931200785,on
2_10_eng_aligned_eng0090.1,212.625,41.791788325322614,310.65916523951535,58.5,5.0990195135927845,on
2_10_eng_aligned_eng0091.2,199.5,12.020815280171307,101.2930754478058,60.0,1.4142135623730951,on
2_10_eng_aligned_eng0094.1,255.85714285714286,58.834311336805754,358.31938917862306,60.42857142857143,4.157609203101499,on
2_10_eng_aligned_eng0096.1,271.64285714285717,25.0894005902497,152.940790529128,63.42857142857143,3.71513092665626,on
2_10_eng_aligned_eng0097.1,290.2857142857143,16.98739028136543,98.4575031293651,61.714285714285715,2.4976179127511156,on
2_10_eng_aligned_eng0098.1,256.2857142857143,36.47699862339867,230.37450779514867,58.42857142857143,2.5071326821120348,on
2_10_eng_aligned_eng0099.1,267.0,0,0,63.0,0,on
2_10_eng_aligned_eng0101.1,74.5,41.39927535597695,765.0710585232122,55.666666666666664,3.265986323710904,on
2_10_eng_aligned_eng0102.1,293.4,69.45718105422938,367.83954082185267,62.6,2.3021728866442674,on
2_10_eng_aligned_eng0103.1,156.42857142857142,70.40799467592947,643.3790149552959,59.142857142857146,1.8644544714716087,on
2_10_eng_aligned_eng0104.1,221.6,13.202272531651511,100.18618828706413,61.0,7.106335201775948,on
2_10_eng_aligned_eng0105.1,208.0,12.727922061357855,102.82273629855963,59.5,0.7071067811865476,on
2_10_eng_aligned_eng0106.1,99.66666666666667,80.39568810991462,1023.9763297497185,57.0,3.687817782917155,on
2_10_eng_aligned_eng0107.1,231.4,47.794351130651414,325.05706525222377,61.6,6.9498201415576215,on
2_10_eng_aligned_eng0108.1,226.14285714285714,50.6044417399256,349.60176928277605,60.57142857142857,4.07664661444276,on
2_10_eng_aligned_eng0109.1,77.0,77.0,1200.0,54.666666666666664,1.1547005383792515,on
2_10_eng_aligned_eng0110.1,105.25,132.12967115678447,1408.0513880557264,55.75,5.619905100029122,on
2_10_eng_aligned_eng0111.2,59.333333333333336,51.3841739578767,1079.9623523435903,56.333333333333336,4.932882862316247,on
2_10_eng_aligned_eng0112.1,134.2,51.10479429564314,558.6186437001421,56.8,2.280350850198276,on
2_10_eng_aligned_eng0113.1,232.0,59.57348403442592,395.6816642878465,60.666666666666664,5.8594652770823155,on
2_10_eng_aligned_eng0114.1,118.25,80.32589868778314,897.420418680906,60.25,2.0615528128088303,on
2_10_eng_aligned_eng0116.1,205.2,103.71210151182937,708.1987897759275,59.4,3.7815340802378077,on
2_10_eng_aligned_eng0117.2,170.33333333333334,4.932882862316247,49.42457132197603,60.333333333333336,1.5275252316519465,on
2_10_eng_aligned_eng0118.1,145.5,53.897536534098144,545.5541194456629,57.8,3.794733192202055,on
2_10_eng_aligned_eng0119.2,113.0,98.42255838983256,1084.5678541724592,58.666666666666664,0.5773502691896257,on
2_10_eng_aligned_eng0120.1,250.33333333333334,122.92545166346417,691.5909707119152,58.166666666666664,5.49241901776136,on
2_10_eng_aligned_eng0122.1,129.4,89.3746173262981,909.1292953345164,58.9,4.90917508345343,on
2_10_eng_aligned_eng0123.1,168.0,115.27069590027352,904.4641571058486,58.857142857142854,1.864454471471609,on
2_10_eng_aligned_eng0124.2,56.5,0.7071067811865476,21.532218191146544,55.5,0.7071067811865476,on
2_10_eng_aligned_eng0125.2,236.57142857142858,8.872726453873957,63.74275835620228,60.714285714285715,4.462296260008731,on
2_10_eng_aligned_eng0126.1,163.75,85.43759906114715,726.8848405157523,56.5,3.696845502136472,on
2_10_eng_aligned_eng0128.1,206.33333333333334,38.397048497681865,295.45956705939005,60.0,5.291502622129181,on
2_10_eng_aligned_eng0129.2,145.5,205.76807332528534,1525.8639637963342,58.0,7.0710678118654755,on
2_10_eng_aligned_eng0132.1,150.375,99.21540418993126,877.1972780156985,59.375,3.543101950067402,on
2_10_eng_aligned_eng0133.1,188.77777777777777,31.180032784531264,264.64546245128497,61.666666666666664,4.387482193696061,on
2_10_eng_aligned_eng0134.1,105.28571428571429,12.618957771468104,195.9734280158487,60.57142857142857,3.9520940802374147,on
2_10_eng_aligned_eng0135.1,207.4,42.34146903450564,321.62340410259856,62.6,6.387487769068525,on
2_10_eng_aligned_eng0137.1,173.5,48.1283007526064,423.84774577581356,56.25,4.573474244670748,on
2_10_eng_aligned_eng0138.1,39.4,54.04442616958755,1495.0955785164601,57.8,2.16794833886788,on
2_10_eng_aligned_eng0139.1,74.0,41.67133307202926,773.321026213506,58.6,3.646916505762094,on
2_10_eng_aligned_eng0141.2,162.75,108.65043334780891,885.3185771200996,57.5,2.886751345948129,on
2_10_eng_aligned_eng0142.2,68.66666666666667,61.84927916583453,1111.8530911923258,57.0,1.0,on
2_10_eng_aligned_eng0143.1,240.0,20.11632835948615,139.34707081644333,61.0,3.1622776601683795,on
2_10_eng_aligned_eng0144.1,91.66666666666667,25.00933159176124,417.64643144725926,58.0,3.63318042491699,on
2_10_eng_aligned_eng0146.1,221.5,27.598309126949545,203.29023582489626,59.0,7.0710678118654755,on
2_10_eng_aligned_eng0147.1,99.66666666666667,17.084105673598096,273.89893213314144,58.166666666666664,3.970726214015097,on
2_10_eng_aligned_eng0148.1,255.6,73.1457449206719,435.7012618782199,61.8,4.764451699828638,on
